Country Code,Ranking,Country Name,Economy (Million US Dollar)
USA,1,United States,25439700
CHN,2,China,17963171
JPN,3,Japan,4256411
DEU,4,Germany,4082469
IND,5,India,3416646
GBR,6,United Kingdom,3089073
FRA,7,France,2779092
RUS,8,Russian Federation,2240422
CAN,9,Canada,2161483
ITA,10,Italy,2049737
BRA,11,Brazil,1920096
AUS,12,Australia,1692957
KOR,13,South Korea,1673916
MEX,14,Mexico,1465854
ESP,15,Spain,1417800
IDN,16,Indonesia,1319100
SAU,17,Saudi Arabia,1108572
NLD,18,Netherlands,1009399
TUR,19,Türkiye,907118
CHE,20,Switzerland,818427
POL,21,Poland,688125
ARG,22,Argentina,631133
NOR,23,Norway,593349
SWE,24,Sweden,591718
BEL,25,Belgium,583436
IRL,26,Ireland,533140
ISR,27,Israel,525002
ARE,28,United Arab Emirates,507064
THA,29,Thailand,495423
EGY,30,Egypt,476748
NGA,31,Nigeria,472625
AUT,32,Austria,470942
SGP,33,Singapore,466788
BGD,34,Bangladesh,460201
IRN,35,Iran,413493
VNM,36,Vietnam,408802
MYS,37,Malaysia,407027
ZAF,38,South Africa,405271
PHL,39,Philippines,404284
DNK,40,Denmark,400167
PAK,41,Pakistan,374697
HKG,42,"Hong Kong SAR, China",359839
COL,43,Colombia,343622
CHL,44,Chile,301025
ROU,45,Romania,300691
CZE,46,Czech Republic,290566
FIN,47,Finland,282650
IRQ,48,Iraq,264182
PRT,49,Portugal,255197
NZL,50,New Zealand,248102
PER,51,Peru,242632
QAT,52,Qatar,236258
KAZ,53,Kazakhstan,225496
GRC,54,Greece,217581
DZA,55,Algeria,194998
HUN,56,Hungary,177337
KWT,57,Kuwait,175363
UKR,58,Ukraine,160503
MAR,59,Morocco,130913
ETH,60,Ethiopia,126783
SVK,61,Slovak Republic,115462
ECU,62,Ecuador,115049
OMN,63,Oman,114667
DOM,64,Dominican Republic,113537
PRI,65,Puerto Rico,113435
KEN,66,Kenya,113420
CUB,67,Cuba,107352
AGO,68,Angola,106783
GTM,69,Guatemala,95003
BGR,70,Bulgaria,90346
LUX,71,Luxembourg,81642
UZB,72,Uzbekistan,80392
AZE,73,Azerbaijan,78721
PAN,74,Panama,76523
TZA,75,Tanzania,75732
LKA,76,Sri Lanka,74404
GHA,77,Ghana,73766
BLR,78,Belarus,72793
HRV,79,Croatia,71600
URY,80,Uruguay,71177
LTU,81,Lithuania,70974
CIV,82,Côte d'Ivoire,70019
CRI,83,Costa Rica,69244
COD,84,"Congo, Dem. Rep.",64719
SRB,85,Serbia,63563
MMR,86,Myanmar,62263
SVN,87,Slovenia,60063
TKM,88,Turkmenistan,56543
SDN,89,Sudan,51662
JOR,90,Jordan,48653
TUN,91,Tunisia,46304
LBY,92,Libya,45752
UGA,93,Uganda,45567
BHR,94,Bahrain,44383
BOL,95,Bolivia,44008
CMR,96,Cameroon,43644
PRY,97,Paraguay,41722
LVA,98,Latvia,40932
NPL,99,Nepal,40828
EST,100,Estonia,38101
SLV,101,El Salvador,32489
HND,102,Honduras,31718
PNG,103,Papua New Guinea,31604
TTO,104,Trinidad and Tobago,30054
KHM,105,Cambodia,29505
CYP,106,Cyprus,29251
ZMB,107,Zambia,29164
ISL,108,Iceland,28065
SEN,109,Senegal,27684
ZWE,110,Zimbabwe,27367
GEO,111,Georgia,24781
BIH,112,Bosnia and Herzegovina,24474
MAC,113,"Macao SAR, China",24042
LBN,114,Lebanon,23132
YEM,115,"Yemen, Rep.",21912
GAB,116,Gabon,21072
GIN,117,Guinea,20999
BWA,118,Botswana,20356
HTI,119,Haiti,20254
ARM,120,Armenia,19513
PSE,121,West Bank and Gaza,19112
ALB,122,Albania,18916
MLI,123,Mali,18827
BFA,124,Burkina Faso,18820
MOZ,125,Mozambique,18407
MLT,126,Malta,18126
BEN,127,Benin,17397
MNG,128,Mongolia,17146
JAM,129,Jamaica,17098
BRN,130,Brunei Darussalam,16682
COG,131,"Congo, Rep.",15817
NIC,132,Nicaragua,15672
LAO,133,Lao PDR,15469
NER,134,Niger,15342
MDG,135,Madagascar,15297
GUY,136,Guyana,14718
MDA,137,Moldova,14508
AFG,138,Afghanistan,14266
MKD,139,North Macedonia,13563
RWA,140,Rwanda,13311
MWI,141,Malawi,13165
MUS,142,Mauritius,12949
NAM,143,Namibia,12915
BHS,144,Bahamas,12897
TCD,145,Chad,12704
GNQ,146,Equatorial Guinea,12030
CHI,147,Channel Islands,11736
KGZ,148,Kyrgyz Republic,11544
TJK,149,Tajikistan,10492
SOM,150,Somalia,10420
MRT,151,Mauritania,9781
NCL,152,New Caledonia,9623
XKX,153,Kosovo,9409
SYR,154,Syrian Arab Republic,8970
MCO,155,Monaco,8784
TGO,156,Togo,8341
LIE,157,Liechtenstein,7710
BMU,158,Bermuda,7546
CYM,159,Cayman Islands,6845
IMN,160,Isle of Man,6684
MNE,161,Montenegro,6230
MDV,162,Maldives,6171
GUM,163,Guam,6123
PYF,164,French Polynesia,5815
BRB,165,Barbados,5700
FJI,166,Fiji,4980
SWZ,167,Eswatini,4791
VIR,168,Virgin Islands (U.S.),4444
SLE,169,Sierra Leone,4095
LBR,170,Liberia,4001
SUR,171,Suriname,3621
FRO,172,Faroe Islands,3556
ABW,173,Aruba,3545
DJI,174,Djibouti,3515
AND,175,Andorra,3352
BDI,176,Burundi,3339
GRL,177,Greenland,3236
TLS,178,Timor-Leste,3205
CUW,179,Curaçao,3075
BLZ,180,Belize,2831
BTN,181,Bhutan,2768
CAF,182,Central African Republic,2383
LCA,183,St. Lucia,2344
LSO,184,Lesotho,2237
CPV,185,Cabo Verde,2227
GMB,186,"Gambia, The",2187
ATG,187,Antigua and Barbuda,1868
SMR,188,San Marino,1855
GNB,189,Guinea-Bissau,1634
SLB,190,Solomon Islands,1597
SYC,191,Seychelles,1588
SXM,192,Sint Maarten (Dutch part),1537
COM,193,Comoros,1243
GRD,194,Grenada,1215
TCA,195,Turks and Caicos Islands,1139
VUT,196,Vanuatu,1056
KNA,197,St. Kitts and Nevis,966
VCT,198,St. Vincent and the Grenadines,949
ASM,199,American Samoa,871
MNP,200,Northern Mariana Islands,858
WSM,201,Samoa,833
MAF,202,St. Martin (French part),649
DMA,203,Dominica,607
STP,204,São Tomé and Principe,543
TON,205,Tonga,469
FSM,206,"Micronesia, Fed. Sts.",424
MHL,207,Marshall Islands,259
PLW,208,Palau,233
KIR,209,Kiribati,223
NRU,210,Nauru,152
TUV,211,Tuvalu,59
